DEPARTAMENTO,ÁREA,SEXO,Total personas de 5 y más años que usaron Internet,,,,Dispositivos para acceder a Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,En el hogar,,,,,En el trabajo,,,,,En la institucion educativa,,,,,En centro de acceso público gratis,,,,,En centro de acceso público con costo (café internet),,,,,En la vivienda de otra persona,,,,,En desplazamiento de un sitio a otro,,,,,En otro sitio,,,
,,HOMBRE,338,12,"1,9%",,316,14,"2,3%","93,6",,100,9,"4,3%","29,8",,"50,6","7,5","0,1","15,0",,12,4,"18,7%","3,5",,11,7,"31,9%","3,1",,27,9,"17,2%","7,9",,65,16,"12,2%","19,3",,1,1,"68,5%","0,2"
,,MUJER,386,11,"1,4%",,366,12,"1,7%","94,7",,70,8,"5,6%","18,0",,"51,8","6,9","0,1","13,4",,7,4,"27,5%","1,7",,12,6,"25,3%","3,0",,37,10,"13,2%","9,5",,67,17,"12,8%","17,3",,0,0,"71,9%","0,1"
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,255,12,"2,5%",,229,14,"3,1%","89,8",,28,6,"10,7%","10,8",,"39,3","5,8","0,1","15,4",,11,3,"14,4%","4,2",,6,2,"19,5%","2,5",,21,6,"13,1%","8,4",,15,4,"14,9%","6,0",,0,1,"70,7%","0,2"
,,HOMBRE,120,7,"3,0%",,107,7,"3,5%","89,1",,19,4,"10,8%","15,9",,"20,2","4,1","0,1","16,8",,5,2,"20,1%","4,6",,2,1,"25,5%","1,9",,11,3,"14,3%","9,0",,9,3,"15,9%","7,9",,0,1,"100,0%","0,3"
,,MUJER,135,7,"2,7%",,123,8,"3,4%","90,5",,9,3,"15,9%","6,4",,"19,2","3,7","0,1","14,2",,5,2,"15,2%","3,8",,4,2,"21,5%","2,9",,11,3,"15,6%","7,9",,6,2,"20,5%","4,4",,0,0,"74,1%","0,1"
META,TOTAL,TOTAL,874,15,"0,9%",,834,20,"1,2%","95,5",,294,19,"3,3%","33,7",,"95,2","10,5","0,1","10,9",,22,6,"12,5%","2,6",,16,5,"15,2%","1,8",,83,15,"9,1%","9,5",,137,19,"7,1%","15,6",,11,6,"24,8%","1,3"
,,HOMBRE,433,10,"1,1%",,409,12,"1,5%","94,5",,168,11,"3,4%","38,7",,"48,3","6,5","0,1","11,1",,12,4,"15,2%","2,8",,8,3,"18,3%","1,9",,40,8,"10,6%","9,2",,69,10,"7,6%","15,9",,7,4,"28,7%","1,6"
,,MUJER,441,9,"1,0%",,425,10,"1,2%","96,4",,126,11,"4,3%","28,7",,"46,9","6,5","0,1","10,6",,10,3,"13,2%","2,3",,8,3,"18,1%","1,7",,44,8,"9,7%","9,9",,68,10,"7,6%","15,4",,5,3,"29,9%","1,1"
,CABECERA,TOTAL,688,13,"1,0%",,657,17,"1,4%","95,5",,256,18,"3,7%","37,3",,"75,8","10,0","0,1","11,0",,9,4,"20,4%","1,4",,12,5,"19,4%","1,7",,75,15,"10,0%","11,0",,106,18,"8,8%","15,5",,11,6,"25,4%","1,6"
,,HOMBRE,331,9,"1,3%",,313,11,"1,8%","94,5",,141,11,"3,9%","42,5",,"38,3","6,2","0,1","11,6",,5,3,"27,7%","1,5",,6,3,"23,7%","1,8",,36,8,"11,6%","10,8",,51,10,"9,7%","15,4",,7,4,"28,9%","2,0"
,,MUJER,357,7,"1,1%",,344,9,"1,3%","96,4",,116,11,"4,7%","32,4",,"37,5","6,2","0,1","10,5",,4,2,"21,7%","1,2",,6,3,"22,6%","1,7",,40,8,"10,5%","11,1",,56,10,"9,1%","15,6",,4,3,"31,3%","1,3"
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,186,8,"2,1%",,178,9,"2,7%","95,4",,38,5,"6,1%","20,4",,"19,3","3,2","0,1","10,4",,13,4,"15,9%","7,0",,4,1,"18,4%","2,1",,8,2,"14,9%","4,3",,30,5,"8,9%","16,3",,0,0,"47,3%","0,1"
,,HOMBRE,102,5,"2,3%",,97,5,"2,9%","94,7",,27,4,"6,6%","26,5",,"10,0","2,0","0,1","9,8",,7,2,"16,8%","7,0",,2,1,"22,1%","2,1",,4,2,"18,9%","4,1",,18,4,"10,1%","17,5",,0,0,"99,6%","0,0"
,,MUJER,84,4,"2,6%",,81,5,"3,0%","96,3",,11,2,"8,2%","12,9",,"9,4","2,1","0,1","11,1",,6,2,"16,7%","7,1",,2,1,"20,9%","2,0",,4,1,"15,2%","4,6",,12,2,"8,9%","14,7",,0,0,"45,2%","0,3"
NARIÑO,TOTAL,TOTAL,1.005,25,"1,3%",,957,27,"1,4%","95,3",,214,16,"3,9%","21,3",,"194,6","14,4","0,0","19,4",,64,11,"8,9%","6,3",,13,4,"15,4%","1,3",,101,13,"6,8%","10,0",,96,15,"7,7%","9,6",,0,1,"99,3%","0,0"
,,HOMBRE,493,15,"1,5%",,467,16,"1,7%","94,8",,117,11,"4,7%","23,7",,"99,1","9,8","0,1","20,1",,34,8,"11,8%","6,9",,7,3,"22,6%","1,3",,55,9,"8,2%","11,1",,54,9,"8,6%","10,9",,0,1,"99,3%","0,1"
,,MUJER,512,15,"1,5%",,490,15,"1,6%","95,8",,97,9,"4,8%","19,0",,"95,5","8,9","0,0","18,7",,30,5,"8,6%","5,8",,7,2,"18,6%","1,3",,46,7,"8,1%","9,0",,42,8,"9,3%","8,3",,0,0,.,-
,CABECERA,TOTAL,525,15,"1,5%",,502,18,"1,8%","95,5",,156,13,"4,1%","29,7",,"109,2","10,7","0,1","20,8",,34,8,"12,5%","6,5",,6,3,"25,5%","1,2",,55,10,"9,6%","10,5",,43,11,"13,5%","8,1",,0,1,"99,3%","0,1"
,,HOMBRE,253,8,"1,7%",,240,10,"2,2%","94,9",,81,8,"5,2%","32,2",,"56,8","7,5","0,1","22,5",,20,6,"16,0%","7,9",,3,2,"34,4%","1,2",,30,7,"11,9%","11,7",,22,7,"15,6%","8,8",,0,1,"99,3%","0,1"
,,MUJER,272,9,"1,6%",,262,10,"1,9%","96,1",,75,7,"4,9%","27,5",,"52,4","6,2","0,1","19,3",,14,3,"11,9%","5,2",,3,2,"31,6%","1,2",,25,5,"10,8%","9,4",,20,6,"14,8%","7,4",,0,0,.,-
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,480,19,"2,1%",,456,20,"2,2%","95,0",,58,11,"9,5%","12,0",,"85,4","9,9","0,1","17,8",,29,9,"14,9%","6,1",,7,3,"18,6%","1,4",,46,9,"10,3%","9,5",,54,10,"9,2%","11,2",,0,0,.,-
,,HOMBRE,240,12,"2,5%",,227,12,"2,7%","94,6",,35,7,"10,2%","14,7",,"42,3","6,5","0,1","17,6",,14,5,"19,1%","5,9",,4,2,"30,1%","1,5",,25,6,"11,5%","10,5",,31,6,"10,0%","13,1",,0,0,.,-
,,MUJER,240,12,"2,6%",,229,12,"2,6%","95,4",,23,6,"13,0%","9,4",,"43,1","6,4","0,1","18,0",,15,4,"14,5%","6,4",,3,1,"20,9%","1,4",,21,5,"13,1%","8,6",,22,5,"11,7%","9,3",,0,0,.,-
NORTE DE SANTANDER,TOTAL,TOTAL,1.142,36,"1,6%",,1.093,39,"1,8%","95,8",,371,25,"3,5%","32,5",,"174,6","16,9","0,0","15,3",,67,15,"11,7%","5,8",,21,7,"17,8%","1,8",,123,27,"11,1%","10,7",,138,28,"10,3%","12,1",,1,1,"53,9%","0,1"
,,HOMBRE,542,22,"2,1%",,523,23,"2,2%","96,4",,227,17,"3,8%","41,9",,"82,6","11,1","0,1","15,2",,32,8,"12,7%","5,9",,11,4,"21,1%","2,0",,60,14,"12,3%","11,1",,78,16,"10,5%","14,5",,0,1,"100,0%","0,1"
,,MUJER,599,19,"1,6%",,571,21,"1,9%","95,2",,143,13,"4,7%","23,9",,"92,0","10,9","0,1","15,3",,35,9,"13,3%","5,8",,10,4,"22,0%","1,7",,62,14,"11,3%","10,4",,60,14,"11,8%","10,0",,1,1,"63,7%","0,1"
,CABECERA,TOTAL,966,34,"1,8%",,927,36,"2,0%","96,0",,340,25,"3,7%","35,2",,"155,8","16,4","0,1","16,1",,46,14,"15,0%","4,8",,19,7,"19,4%","2,0",,99,26,"13,3%","10,2",,115,27,"12,0%","11,9",,1,1,"70,8%","0,1"
,,HOMBRE,454,20,"2,3%",,438,21,"2,5%","96,5",,203,17,"4,2%","44,7",,"73,5","10,8","0,1","16,2",,22,7,"16,4%","4,8",,9,4,"24,3%","2,0",,48,14,"15,0%","10,5",,64,16,"12,4%","14,1",,0,1,"100,0%","0,1"
,,MUJER,512,17,"1,7%",,489,20,"2,0%","95,5",,137,13,"4,8%","26,7",,"82,3","10,6","0,1","16,1",,25,8,"17,2%","4,8",,10,4,"22,7%","1,9",,51,13,"13,3%","10,0",,50,13,"13,6%","9,8",,0,1,"99,3%","0,1"
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,175,13,"3,9%",,166,13,"4,1%","94,8",,31,4,"7,0%","17,4",,"18,8","4,0","0,1","10,7",,20,7,"17,7%","11,6",,2,1,"27,9%","1,1",,24,8,"16,4%","13,5",,24,8,"16,7%","13,5",,0,1,"83,0%","0,2"
,,HOMBRE,88,8,"4,5%",,84,8,"4,6%","95,7",,24,4,"7,8%","27,7",,"9,1","2,5","0,1","10,3",,10,4,"19,0%","11,5",,2,1,"33,0%","1,9",,13,4,"16,6%","14,2",,14,4,"15,8%","16,1",,0,0,.,-
,,MUJER,87,7,"4,1%",,82,7,"4,4%","93,8",,6,2,"13,3%","7,0",,"9,7","2,4","0,1","11,1",,10,4,"19,0%","11,6",,0,0,"42,4%","0,4",,11,4,"19,1%","12,7",,10,4,"20,6%","11,0",,0,1,"83,0%","0,5"
PUTUMAYO,TOTAL,TOTAL,203,7,"1,7%",,177,8,"2,3%","87,4",,66,5,"3,5%","32,4",,"41,0","3,6","0,0","20,2",,8,2,"14,4%","3,8",,10,2,"11,9%","5,0",,36,5,"6,7%","17,9",,15,3,"8,5%","7,6",,7,2,"16,2%","3,3"
,,HOMBRE,101,4,"1,9%",,88,4,"2,6%","86,8",,41,3,"4,1%","40,6",,"21,8","2,7","0,1","21,5",,4,1,"15,8%","3,9",,5,2,"15,1%","5,2",,19,3,"7,3%","19,0",,8,2,"10,3%","8,1",,4,1,"17,2%","3,7"
,,MUJER,102,4,"2,0%",,89,4,"2,6%","87,9",,25,2,"4,8%","24,2",,"19,2","1,9","0,0","18,9",,4,1,"19,2%","3,7",,5,1,"13,0%","4,7",,17,3,"7,6%","16,8",,7,1,"10,5%","7,1",,3,1,"18,3%","2,9"
,CABECERA,TOTAL,129,4,"1,6%",,118,5,"2,1%","91,0",,47,4,"4,0%","36,6",,"26,8","2,9","0,1","20,7",,4,2,"20,6%","3,3",,5,2,"21,0%","3,8",,16,4,"12,6%","12,6",,8,2,"11,5%","5,8",,0,0,"98,4%","0,2"
,,HOMBRE,61,3,"2,1%",,56,3,"2,6%","91,0",,28,3,"4,8%","45,2",,"14,1","2,2","0,1","23,0",,2,1,"22,8%","3,6",,2,1,"27,5%","3,8",,8,2,"14,2%","13,6",,4,1,"13,3%","6,4",,0,0,"98,4%","0,2"
,,MUJER,68,2,"1,8%",,62,3,"2,3%","90,9",,20,2,"5,2%","28,9",,"12,7","1,4","0,1","18,7",,2,1,"27,6%","2,9",,3,1,"19,9%","3,8",,8,2,"13,2%","11,7",,4,1,"16,5%","5,3",,0,0,"98,4%","0,2"
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,74,6,"3,8%",,60,7,"5,6%","81,1",,19,3,"8,1%","25,1",,"14,2","2,5","0,1","19,3",,3,1,"20,3%","4,7",,5,2,"16,9%","7,0",,20,4,"10,9%","27,1",,8,2,"13,7%","10,7",,6,2,"16,5%","8,7"
,,HOMBRE,40,3,"3,7%",,32,4,"5,6%","80,4",,13,2,"8,4%","33,6",,"7,7","1,7","0,1","19,2",,2,1,"22,3%","4,4",,3,1,"20,0%","7,4",,11,2,"11,0%","27,3",,4,1,"16,4%","10,6",,4,1,"17,6%","9,0"
,,MUJER,34,3,"4,8%",,28,3,"6,3%","81,9",,5,1,"11,8%","14,9",,"6,5","1,3","0,1","19,3",,2,1,"26,1%","5,1",,2,1,"20,0%","6,6",,9,2,"12,1%","26,8",,4,1,"14,5%","10,7",,3,1,"18,7%","8,5"
QUINDÍO,TOTAL,TOTAL,445,13,"1,5%",,431,13,"1,5%","97,0",,162,10,"3,2%","36,4",,"62,6","5,5","0,0","14,1",,21,8,"19,8%","4,7",,19,9,"23,6%","4,3",,77,14,"9,2%","17,4",,108,17,"7,9%","24,2",,3,1,"23,6%","0,6"
,,HOMBRE,211,7,"1,6%",,204,7,"1,7%","96,7",,92,6,"3,4%","43,6",,"31,3","3,7","0,1","14,8",,9,4,"20,5%","4,5",,9,4,"24,2%","4,4",,36,7,"10,0%","17,1",,54,9,"8,1%","25,6",,1,1,"40,1%","0,6"
,,MUJER,234,8,"1,8%",,227,8,"1,8%","97,2",,70,6,"4,5%","30,0",,"31,3","4,2","0,1","13,4",,11,5,"21,2%","4,9",,10,5,"24,1%","4,2",,41,8,"9,3%","17,6",,54,9,"8,5%","22,9",,2,1,"27,4%","0,7"
,CABECERA,TOTAL,397,13,"1,6%",,386,13,"1,7%","97,2",,147,10,"3,5%","37,0",,"55,8","5,4","0,0","14,0",,18,8,"23,3%","4,6",,16,9,"28,6%","4,1",,70,14,"10,3%","17,5",,93,17,"9,1%","23,3",,2,1,"28,3%","0,6"
,,HOMBRE,186,7,"1,8%",,181,7,"1,9%","97,0",,82,6,"3,8%","43,8",,"27,9","3,6","0,1","14,9",,8,4,"24,1%","4,4",,8,5,"29,6%","4,2",,32,7,"11,2%","17,3",,46,9,"9,4%","24,8",,1,1,"49,3%","0,5"
,,MUJER,211,8,"2,0%",,206,8,"2,0%","97,5",,65,6,"4,8%","30,9",,"27,9","4,1","0,1","13,2",,10,5,"24,7%","4,8",,8,5,"28,7%","4,0",,37,8,"10,3%","17,7",,46,9,"9,7%","22,0",,1,1,"33,3%","0,6"
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,47,2,"1,8%",,45,2,"2,1%","94,8",,15,1,"4,5%","31,9",,"6,8","1,0","0,1","14,4",,3,1,"27,9%","5,6",,3,2,"29,5%","6,1",,8,2,"12,5%","16,2",,15,2,"6,7%","31,5",,1,0,"41,7%","1,1"
,,HOMBRE,25,1,"2,0%",,24,1,"2,3%","94,8",,10,1,"4,4%","42,2",,"3,4","0,7","0,1","13,7",,1,1,"30,3%","5,2",,2,1,"30,3%","6,2",,4,1,"13,5%","16,0",,8,1,"7,2%","31,2",,0,0,"47,5%","1,0"
,,MUJER,23,1,"2,0%",,21,1,"2,3%","94,9",,5,1,"7,8%","20,7",,"3,4","0,6","0,1","15,2",,1,1,"28,7%","6,0",,1,1,"29,8%","6,0",,4,1,"12,6%","16,4",,7,1,"7,5%","31,8",,0,0,"38,3%","1,2"
RISARALDA,TOTAL,TOTAL,736,20,"1,4%",,704,23,"1,7%","95,6",,272,19,"3,5%","37,0",,"107,1","11,7","0,1","14,6",,19,6,"15,7%","2,5",,8,3,"18,4%","1,1",,33,8,"11,8%","4,5",,44,14,"16,5%","6,0",,2,2,"49,3%","0,3"
,,HOMBRE,345,11,"1,6%",,329,12,"1,9%","95,3",,157,13,"4,2%","45,6",,"53,7","7,8","0,1","15,6",,9,4,"20,7%","2,7",,4,2,"23,8%","1,2",,15,5,"15,2%","4,4",,23,8,"17,0%","6,7",,1,1,"75,9%","0,2"
,,MUJER,391,12,"1,6%",,375,14,"1,9%","95,9",,115,10,"4,3%","29,4",,"53,4","7,6","0,1","13,7",,9,3,"16,1%","2,3",,4,2,"22,0%","0,9",,18,5,"13,7%","4,6",,21,8,"19,3%","5,3",,2,2,"46,5%","0,4"
,CABECERA,TOTAL,628,19,"1,5%",,601,23,"1,9%","95,8",,244,19,"3,9%","38,8",,"83,9","11,4","0,1","13,4",,12,5,"22,5%","1,9",,4,2,"28,7%","0,6",,25,7,"14,9%","3,9",,34,14,"20,8%","5,5",,2,2,"49,3%","0,4"
,,HOMBRE,289,10,"1,8%",,276,12,"2,2%","95,4",,137,13,"4,8%","47,3",,"41,6","7,6","0,1","14,4",,6,4,"31,4%","2,0",,2,2,"43,0%","0,6",,11,4,"19,9%","3,8",,18,8,"22,0%","6,1",,1,1,"75,9%","0,2"
,,MUJER,339,12,"1,8%",,325,14,"2,2%","96,1",,107,10,"4,6%","31,6",,"42,3","7,5","0,1","12,5",,6,3,"22,5%","1,7",,2,1,"36,0%","0,5",,14,5,"17,2%","4,1",,17,8,"23,7%","5,0",,2,2,"46,5%","0,5"
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,108,6,"2,6%",,103,6,"2,9%","94,9",,29,3,"5,6%","26,4",,"23,2","2,8","0,1","21,4",,7,2,"17,8%","6,3",,4,2,"23,5%","3,8",,9,3,"16,1%","7,9",,10,3,"13,9%","8,8",,0,0,.,-
,,HOMBRE,55,3,"2,8%",,53,3,"3,1%","95,0",,20,2,"5,8%","36,8",,"12,0","1,9","0,1","21,7",,4,1,"19,3%","6,5",,2,1,"25,6%","4,2",,4,2,"19,0%","7,8",,6,2,"14,7%","10,0",,0,0,.,-
,,MUJER,53,3,"3,0%",,50,3,"3,3%","94,8",,8,1,"8,4%","15,5",,"11,1","1,6","0,1","21,1",,3,1,"18,9%","6,1",,2,1,"25,5%","3,5",,4,1,"16,2%","8,0",,4,1,"15,4%","7,6",,0,0,.,-
SAN ANDRÉS,TOTAL,TOTAL,28,1,"2,4%",,26,1,"2,8%","93,5",,13,1,"4,2%","45,2",,"4,2","0,7","0,1","15,0",,0,0,"30,2%","1,7",,0,0,"31,1%","0,9",,1,0,"23,3%","2,9",,0,0,"30,3%","1,7",,0,0,"99,4%","0,1"
,,HOMBRE,13,1,"2,9%",,13,1,"3,3%","93,2",,6,1,"5,5%","45,5",,"2,2","0,4","0,1","16,7",,0,0,"39,8%","1,2",,0,0,"69,1%","0,3",,0,0,"31,0%","2,1",,0,0,"34,4%","1,7",,0,0,"99,4%","0,2"
,,MUJER,15,1,"2,6%",,14,1,"3,0%","93,8",,7,1,"4,8%","44,9",,"1,9","0,4","0,1","13,3",,0,0,"37,4%","2,1",,0,0,"35,6%","1,4",,1,0,"23,9%","3,6",,0,0,"36,2%","1,7",,0,0,.,-
,CABECERA,TOTAL,28,1,"2,4%",,26,1,"2,8%","93,5",,13,1,"4,2%","45,2",,"4,2","0,7","0,1","15,0",,0,0,"30,2%","1,7",,0,0,"31,1%","0,9",,1,0,"23,3%","2,9",,0,0,"30,3%","1,7",,0,0,"99,4%","0,1"
,,HOMBRE,13,1,"2,9%",,13,1,"3,3%","93,2",,6,1,"5,5%","45,5",,"2,2","0,4","0,1","16,7",,0,0,"39,8%","1,2",,0,0,"69,1%","0,3",,0,0,"31,0%","2,1",,0,0,"34,4%","1,7",,0,0,"99,4%","0,2"
,,MUJER,15,1,"2,6%",,14,1,"3,0%","93,8",,7,1,"4,8%","44,9",,"1,9","0,4","0,1","13,3",,0,0,"37,4%","2,1",,0,0,"35,6%","1,4",,1,0,"23,9%","3,6",,0,0,"36,2%","1,7",,0,0,.,-
SANTANDER,TOTAL,TOTAL,1.786,30,"0,9%",,1.724,34,"1,0%","96,5",,699,28,"2,0%","39,1",,"314,5","21,7","0,0","17,6",,42,11,"13,5%","2,3",,55,12,"11,0%","3,1",,223,36,"8,3%","12,5",,225,33,"7,5%","12,6",,9,3,"18,9%","0,5"
,,HOMBRE,860,19,"1,2%",,825,21,"1,3%","95,9",,402,19,"2,5%","46,8",,"155,6","14,4","0,0","18,1",,22,7,"15,6%","2,5",,30,8,"13,0%","3,5",,103,17,"8,4%","12,0",,127,20,"8,2%","14,8",,5,2,"25,6%","0,5"
,,MUJER,926,18,"1,0%",,899,20,"1,1%","97,0",,296,18,"3,1%","32,0",,"158,9","13,6","0,0","17,2",,20,6,"15,0%","2,1",,25,6,"12,2%","2,6",,120,23,"9,8%","13,0",,98,16,"8,6%","10,5",,5,2,"21,8%","0,5"
,CABECERA,TOTAL,1.500,26,"0,9%",,1.465,31,"1,1%","97,7",,632,27,"2,2%","42,1",,"264,1","20,9","0,0","17,6",,38,11,"14,9%","2,5",,47,12,"12,7%","3,1",,200,36,"9,1%","13,4",,192,33,"8,8%","12,8",,6,3,"28,1%","0,4"
,,HOMBRE,709,17,"1,2%",,690,19,"1,4%","97,3",,353,18,"2,7%","49,8",,"129,8","13,7","0,1","18,3",,20,7,"16,8%","2,8",,26,8,"14,8%","3,7",,89,16,"9,3%","12,6",,108,20,"9,6%","15,2",,3,2,"32,1%","0,5"
,,MUJER,791,17,"1,1%",,775,19,"1,3%","98,0",,278,17,"3,2%","35,2",,"134,2","13,1","0,0","17,0",,18,6,"16,8%","2,2",,21,6,"14,0%","2,7",,111,23,"10,5%","14,1",,85,17,"10,0%","10,7",,3,2,"32,1%","0,3"
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,286,16,"2,8%",,259,17,"3,3%","90,4",,67,8,"5,8%","23,4",,"50,5","6,5","0,1","17,6",,4,2,"23,1%","1,4",,8,3,"17,8%","2,7",,22,6,"14,5%","7,8",,33,7,"10,5%","11,4",,3,2,"28,2%","1,1"
,,HOMBRE,151,10,"3,3%",,136,10,"3,8%","89,7",,49,6,"6,0%","32,5",,"25,8","4,9","0,1","17,0",,2,1,"31,0%","1,2",,4,2,"22,5%","2,9",,14,5,"17,6%","8,9",,20,4,"11,2%","12,9",,1,1,"38,0%","0,7"
,,MUJER,135,8,"3,0%",,123,8,"3,4%","91,2",,18,4,"11,3%","13,3",,"24,7","4,0","0,1","18,3",,2,1,"25,1%","1,7",,3,1,"22,2%","2,4",,9,3,"14,5%","6,5",,13,3,"13,7%","9,6",,2,1,"37,1%","1,5"
SUCRE,TOTAL,TOTAL,604,16,"1,3%",,547,18,"1,7%","90,6",,126,10,"4,1%","20,8",,"99,8","7,5","0,0","16,5",,47,8,"8,4%","7,9",,23,6,"12,6%","3,9",,76,9,"6,1%","12,6",,62,7,"6,2%","10,2",,0,0,"49,6%","0,1"
,,HOMBRE,291,9,"1,7%",,260,11,"2,1%","89,4",,78,7,"4,4%","26,9",,"49,5","4,7","0,0","17,0",,26,5,"10,3%","8,8",,12,4,"15,7%","4,2",,38,6,"7,5%","12,9",,36,5,"6,8%","12,4",,0,0,"53,7%","0,1"
,,MUJER,312,8,"1,4%",,287,10,"1,7%","91,8",,47,6,"6,2%","15,2",,"50,3","5,3","0,1","16,1",,22,4,"9,0%","7,0",,11,3,"15,1%","3,5",,39,5,"6,9%","12,3",,26,4,"7,7%","8,2",,0,0,"100,0%","0,0"
,CABECERA,TOTAL,424,13,"1,5%",,393,17,"2,2%","92,7",,104,10,"4,8%","24,5",,"68,5","6,4","0,0","16,2",,29,8,"13,6%","6,9",,19,6,"15,8%","4,4",,49,9,"9,4%","11,5",,37,7,"9,8%","8,8",,0,0,"71,8%","0,0"
,,HOMBRE,201,8,"2,0%",,184,10,"2,7%","91,6",,62,7,"5,3%","30,9",,"35,2","4,0","0,1","17,5",,15,5,"17,4%","7,6",,10,4,"19,6%","4,9",,24,5,"11,5%","11,8",,21,4,"10,6%","10,2",,0,0,"95,1%","0,0"
,,MUJER,223,7,"1,6%",,209,8,"2,0%","93,7",,42,6,"6,8%","18,8",,"33,3","4,5","0,1","14,9",,14,4,"13,0%","6,3",,9,3,"18,4%","4,0",,25,5,"10,1%","11,1",,17,4,"11,0%","7,6",,0,0,"100,0%","0,1"
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,179,9,"2,6%",,154,10,"3,2%","85,8",,22,3,"7,6%","12,1",,"31,3","4,0","0,1","17,5",,18,5,"12,9%","10,1",,5,1,"16,6%","2,5",,28,5,"8,8%","15,4",,24,4,"9,1%","13,5",,0,0,"65,0%","0,1"
,,HOMBRE,90,5,"3,0%",,76,5,"3,7%","84,6",,16,3,"8,0%","17,8",,"14,3","2,5","0,1","15,8",,10,3,"14,2%","11,4",,2,1,"21,3%","2,7",,14,3,"10,7%","15,4",,16,3,"10,1%","17,3",,0,0,"65,0%","0,1"
,,MUJER,89,5,"2,9%",,78,5,"3,5%","87,0",,6,1,"12,7%","6,2",,"17,0","2,9","0,1","19,1",,8,2,"14,6%","8,7",,2,1,"20,0%","2,3",,14,3,"10,0%","15,4",,9,2,"11,9%","9,6",,0,0,.,-
TOLIMA,TOTAL,TOTAL,965,18,"1,0%",,912,22,"1,2%","94,4",,305,19,"3,2%","31,6",,"167,8","14,0","0,0","17,4",,70,10,"7,6%","7,3",,57,9,"8,2%","5,9",,84,10,"6,4%","8,7",,155,15,"4,8%","16,1",,1,1,"70,8%","0,1"
,,HOMBRE,471,11,"1,2%",,438,13,"1,5%","92,8",,190,13,"3,6%","40,3",,"81,1","9,3","0,1","17,2",,34,6,"8,9%","7,2",,27,5,"9,0%","5,7",,38,6,"8,5%","8,0",,77,8,"5,5%","16,4",,0,0,.,-
,,MUJER,494,11,"1,2%",,474,13,"1,4%","96,0",,115,10,"4,4%","23,4",,"86,7","8,8","0,1","17,6",,36,6,"8,6%","7,3",,30,6,"9,3%","6,1",,46,7,"7,4%","9,3",,78,9,"5,8%","15,8",,1,1,"70,8%","0,1"
,CABECERA,TOTAL,721,16,"1,1%",,682,20,"1,5%","94,5",,244,18,"3,8%","33,8",,"117,9","12,8","0,1","16,3",,38,10,"13,8%","5,3",,27,9,"16,6%","3,8",,46,10,"11,2%","6,3",,92,14,"7,6%","12,8",,1,1,"70,8%","0,1"
,,HOMBRE,347,10,"1,4%",,322,12,"1,9%","92,6",,145,12,"4,4%","41,8",,"57,1","8,5","0,1","16,4",,19,6,"14,8%","5,5",,13,4,"16,4%","3,8",,20,6,"14,4%","5,8",,45,8,"8,7%","12,9",,0,0,.,-
,,MUJER,374,10,"1,4%",,360,12,"1,7%","96,3",,99,10,"4,9%","26,4",,"60,8","8,1","0,1","16,3",,19,6,"16,2%","5,0",,14,5,"19,3%","3,8",,25,6,"12,7%","6,8",,48,8,"9,0%","12,7",,1,1,"70,8%","0,2"
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,244,9,"1,9%",,230,9,"2,1%","94,1",,62,6,"5,3%","25,2",,"49,9","5,6","0,1","20,4",,32,5,"8,1%","13,2",,30,5,"9,0%","12,3",,38,5,"7,0%","15,6",,63,6,"4,8%","25,7",,0,0,.,-
,,HOMBRE,124,6,"2,4%",,116,6,"2,7%","93,4",,45,5,"5,9%","36,0",,"24,0","3,7","0,1","19,3",,15,3,"10,2%","12,0",,14,3,"11,3%","11,1",,18,3,"9,7%","14,2",,32,4,"6,1%","25,9",,0,0,.,-
,,MUJER,120,5,"2,2%",,114,6,"2,5%","94,9",,17,3,"8,7%","14,1",,"25,9","3,5","0,1","21,6",,17,3,"8,3%","14,4",,16,3,"8,9%","13,4",,20,3,"7,5%","17,0",,30,3,"5,5%","25,4",,0,0,.,-
VALLE DEL CAUCA,TOTAL,TOTAL,3.686,69,"1,0%",,3.615,72,"1,0%","98,1",,1.390,68,"2,5%","37,7",,"553,6","49,5","0,0","15,0",,145,35,"12,5%","3,9",,102,26,"12,9%","2,8",,591,70,"6,1%","16,0",,706,90,"6,5%","19,2",,2,2,"60,2%","0,0"
,,HOMBRE,1.697,44,"1,3%",,1.659,47,"1,4%","97,8",,782,45,"2,9%","46,1",,"257,6","29,9","0,1","15,2",,67,18,"13,5%","4,0",,52,14,"14,3%","3,1",,300,40,"6,8%","17,7",,380,51,"6,9%","22,4",,1,1,"72,3%","0,1"
